Name,BRISQUE,CCF,CPBDM,FADE,JNBM,LPC,ILNIQE,NIQE,SSEQ,ROBUST
fusion_000071.png,26.377,20.8316,0.51704,0.42021,3.673,0.40418,18.653,3.056,28.8476,0
fusion_000123.png,20.1728,24.1655,0.56532,0.48248,4.5588,0.44088,19.946,3.3049,33.5813,0
fusion_15426.png,52.9532,12.3975,0.30195,1.9579,5.8604,NaN,37.4449,8.4143,41.0581,0
fusion_15544.png,49.8276,10.0942,0.66873,2.2977,11.1643,0.5804,28.4134,5.7724,37.1545,0
fusion_1573.png,42.653,17.4418,0.27458,1.3644,7.3047,0.35006,33.1416,6.3879,44.8109,0
fusion_28_img_.png,20.5317,17.5099,0.54864,0.58981,9.9128,0.33851,19.5418,2.8471,27.4642,0
fusion_372_img_.png,45.2966,14.053,0.61241,0.91403,11.0572,0.49696,29.2811,4.6684,52.5135,0
fusion_436_img_.png,21.2476,24.3803,0.53285,0.43342,2.7318,0.3271,26.6307,3.7747,29.2491,0
fusion_444_img_.png,7.9823,19.2152,0.67484,0.46337,4.3743,0.34336,26.8363,4.1479,16.4824,0
fusion_476_img_.png,23.0129,24.9487,0.57,0.50569,1.162,0.36059,30.5263,3.7227,29.058,0
fusion_493_img_.png,34.3606,19.2253,0.31974,0.66591,8.058,NaN,17.9731,4.1307,42.9249,0
fusion_568_img_.png,55.096,14.9792,0.87775,1.4383,3.0758,0.45232,41.1398,5.3855,49.3336,0
fusion_573_img_.png,29.9626,18.7145,0.57087,0.80144,1.8993,0.24126,42.498,3.8266,52.7087,0
fusion_748_img_.png,35.385,12.9051,0.32461,0.79305,8.4727,0.30736,26.6879,5.7777,51.8396,0
fusion_758.png,39.295,19.3462,0.27599,1.1214,7.0328,0.36298,32.6353,6.4707,51.3633,0
fusion_906_img_.png,10.9694,12.322,0.82001,1.0756,10.4513,0.18943,31.6035,7.458,26.2369,0
fusion_910_img_.png,18.768,14.2188,0.82969,0.8393,8.9234,0.17682,42.7065,7.5916,29.2081,0
fusion_fish.png,8.711,16.9624,0.72245,0.40806,3.9256,0.42512,25.119,3.6303,8.3954,0
fusion_reef2.png,6.8344,18.0281,0.75177,0.35341,11.687,0.51357,22.588,3.289,19.0522,0
Mean_value,28.9177,17.46,0.56628,0.89081,6.5961,NaN,29.1245,4.9293,35.3307,0
